,Instruction,Output
247,Paris Climate Agreement မှာ ပါဝင်လက်မှတ်ရေးထိုးထားတဲ့ နိုင်ငံ ဘယ်နှစ်နိုင်ငံရှိသလဲ?,၂၀၂၃ ခုနှစ်အထိ ၁၉၆ နိုင်ငံနဲ့ European Union က လက်မှတ်ရေးထိုးထားပါတယ်။
248,Paris Climate Agreement အရ နိုင်ငံတွေက ဘာတွေလုပ်ဆောင်ရမလဲ?,နိုင်ငံတိုင်းက သူတို့ရဲ့ ဖန်လုံအိမ်ဓာတ်ငွေ့ထုတ်လွှတ်မှု လျှော့ချရေးပန်းတိုင်တွေကို Nationally Determined Contributions (NDCs) အဖြစ် သတ်မှတ်ပြီး အကောင်အထည်ဖော်ရပါတယ်။
249,Paris Climate Agreement က ဘယ်လိုအကျိုးသက်ရောက်မှုတွေ ရှိနိုင်သလဲ?,ကမ္ဘာ့အပူချိန်မြင့်တက်မှု လျှော့ချနိုင်ခြင်း၊ သဘာဝဘေးအန္တရာယ်များ လျော့နည်းလာခြင်း၊ စိမ်းလန်းစိုပြည်သော စီးပွားရေးစနစ်သို့ ကူးပြောင်းနိုင်ခြင်းတို့ ဖြစ်နိုင်ပါတယ်။
250,Paris Climate Agreement ကို ဘယ်လို အကောင်အထည်ဖော်မလဲ?,နိုင်ငံတိုင်းက ၅ နှစ်တစ်ကြိမ် သူတို့ရဲ့ NDCs တွေကို ပြန်လည်သုံးသပ်ပြီး ပိုမိုရည်မှန်းချက်မြင့်မားတဲ့ ပန်းတိုင်တွေ ချမှတ်ရပါတယ်။
251,Paris Climate Agreement နဲ့ ပတ်သက်ပြီး ဘယ်လို စိန်ခေါ်မှုတွေ ရှိနေသလဲ?,နိုင်ငံတိုင်းက သဘောတူညီချက်ကို လိုက်နာမှု မရှိခြင်း၊ ရည်မှန်းချက်ပန်းတိုင်တွေ မပြည့်မီခြင်း၊ ဖွံ့ဖြိုးဆဲနိုင်ငံများအတွက် ငွေကြေးထောက်ပံ့မှု မလုံလောက်ခြင်းတို့ ဖြစ်ပါတယ်။
252,Paris Climate Agreement မှာ ဘယ်လို လိုက်နာစောင့်ကြည့်မှုစနစ် ပါဝင်သလဲ?,နိုင်ငံတွေရဲ့ တိုးတက်မှုကို စောင့်ကြည့်ဖို့ Enhanced Transparency Framework တစ်ခု ပါဝင်ပါတယ်။ ဒါပေမယ့် ဥပဒေအရ အရေးယူနိုင်တဲ့ စနစ်တော့ မဟုတ်ပါဘူး။
253,Paris Climate Agreement အရ ဖွံ့ဖြိုးပြီးနိုင်ငံတွေက ဖွံ့ဖြိုးဆဲနိုင်ငံတွေကို ဘယ်လိုကူညီရမလဲ?,ဖွံ့ဖြိုးပြီးနိုင်ငံတွေက ဖွံ့ဖြိုးဆဲနိုင်ငံတွေကို နည်းပညာနဲ့ ငွေကြေးအကူအညီပေးဖို့ သဘောတူထားပါတယ်။ တစ်နှစ်ကို အမေရိကန်ဒေါ်လာ ဘီလီယံ ၁၀၀ ထောက်ပံ့ဖို့ ရည်မှန်းထားပါတယ်။
254,Paris Climate Agreement က Kyoto Protocol နဲ့ ဘယ်လိုကွာခြားသလဲ?,Paris Agreement က နိုင်ငံအားလုံးပါဝင်ပြီး ကိုယ်ပိုင်ရည်မှန်းချက်တွေ သတ်မှတ်ရတယ်။ Kyoto Protocol ကတော့ ဖွံ့ဖြိုးပြီးနိုင်ငံတွေအတွက်သာ တာဝန်သတ်မှတ်ထားပါတယ်။
255,Paris Climate Agreement အရ carbon market တွေကို ဘယ်လို ကိုင်တွယ်မလဲ?,သဘောတူညီချက်ရဲ့ Article 6 မှာ နိုင်ငံတွေအကြား carbon credit တွေ ရောင်းဝယ်ဖလှယ်နိုင်တဲ့ စနစ်တစ်ခုကို ဖော်ပြထားပါတယ်။
256,Paris Climate Agreement က မြန်မာနိုင်ငံအပေါ် ဘယ်လိုသက်ရောက်မှုတွေ ရှိနိုင်သလဲ?,မြန်မာနိုင်ငံအနေနဲ့ ရာသီဉတုပြောင်းလဲမှုဒဏ်ခံနိုင်စွမ်း မြှင့်တင်ရေး၊ သစ်တောပြုန်းတီးမှု လျှော့ချရေး၊ ပြန်လည်ပြည့်ဖြိုးမြဲစွမ်းအင်သုံးစွဲမှု တိုးမြှင့်ရေးတို့ကို ဦးစားပေးလုပ်ဆောင်ရနိုင်ပါတယ်။
257,Paris Climate Agreement ကို အမေရိကန်နိုင်ငံက ဘယ်လိုသဘောထားရှိသလဲ?,အမေရိကန်က ၂၀၁၆ မှာ လက်မှတ်ထိုးခဲ့ပေမယ့် ၂၀၂၀ မှာ နုတ်ထွက်ခဲ့ပါတယ်။ ၂၀၂၁ မှာ ပြန်လည်ဝင်ရောက်ခဲ့ပါတယ်။
258,Paris Climate Agreement မှာ ပါဝင်တဲ့ loss and damage provision က ဘာကို ဆိုလိုသလဲ?,ရာသီဉတုပြောင်းလဲမှုကြောင့် ဖြစ်ပေါ်လာတဲ့ ထိခိုက်ပျက်စီးဆုံးရှုံးမှုတွေအတွက် အထူးသဖြင့် ဖွံ့ဖြိုးဆဲနိုင်ငံတွေကို ကူညီထောက်ပံ့မှုပေးဖို့ ဖြစ်ပါတယ်။
259,Paris Climate Agreement က ကမ္ဘာလုံးဆိုင်ရာ အပူချိန်မြင့်တက်မှုကို ထိန်းချုပ်နိုင်ဖို့ လုံလောက်ပါသလား?,လက်ရှိ NDCs တွေအရ လုံလောက်မှု မရှိသေးပါဘူး။ ပိုမိုရည်မှန်းချက်မြင့်မားတဲ့ လုပ်ဆောင်ချက်တွေ လိုအပ်နေပါသေးတယ်။
260,Paris Climate Agreement က မြို့တော်တွေနဲ့ ပုဂ္ဂလိကကဏ္ဍရဲ့ အခန်းကဏ္ဍကို ဘယ်လိုသတ်မှတ်ထားသလဲ?,သဘောတူညီချက်က နိုင်ငံတော်အဆင့်ကိုသာ အဓိကထားပေမယ့် မြို့တော်တွေနဲ့ ပုဂ္ဂလိကကဏ္ဍရဲ့ အရေးပါမှုကိုလည်း အသိအမှတ်ပြုထားပါတယ်။
